0.98, -0.01, -0.11, -63, 268, -24, 
0.99, 0.00, -0.09, 145, -137, -23, 
0.99, 0.00, -0.10, 50, -48, -22, 
0.99, 0.03, -0.12, 529, 96, -43, 
0.99, 0.00, -0.10, 106, -161, -23, 
1.00, 0.04, -0.32, -1539, -535, -60, 
0.98, 0.00, -0.16, 119, 65, 79, 
0.99, 0.00, -0.15, 85, 130, -29, 
0.99, -0.00, -0.16, 19, 43, -26, 
0.99, -0.00, -0.16, 5, 72, -26, 
0.99, -0.00, -0.16, 9, 118, -21, 
0.99, -0.00, -0.15, 78, 82, -28, 
0.99, 0.00, -0.14, 19, -13, -18, 
0.98, -0.00, -0.16, 21, 35, -19, 
0.98, -0.00, -0.16, -11, 141, 0, 
0.99, -0.01, -0.17, 20, 44, -17, 
0.98, -0.01, -0.15, 20, 221, -16, 
0.98, -0.01, -0.13, 163, 228, -35, 
0.98, -0.00, -0.10, 18, 119, -20, 
0.98, 0.00, -0.11, 35, 152, -24, 
0.98, 0.00, -0.10, 14, 42, -26, 
0.98, -0.01, -0.10, 29, 56, -32, 
0.99, -0.00, -0.09, 71, 104, -35, 
0.99, -0.00, -0.09, 7, 71, -33, 
0.99, -0.00, -0.10, 31, 7, -20, 
0.99, -0.00, -0.10, 24, 65, -7, 
0.98, -0.01, -0.09, 45, 108, -28, 
0.98, -0.00, -0.10, 22, 26, -16, 
0.98, -0.01, -0.10, 20, 66, -20, 
0.98, -0.01, -0.11, 22, 78, -20, 
0.99, -0.01, -0.10, 23, 58, -21, 
1.00, -0.01, -0.11, 16, 37, -23, 
0.98, -0.00, -0.10, 21, 81, -19, 
0.99, -0.01, -0.09, 18, 96, -25, 
0.99, -0.00, -0.09, 20, 50, -19, 
0.99, -0.01, -0.10, 22, 56, -16, 
0.99, -0.00, -0.09, 20, 44, -19, 
0.99, -0.00, -0.09, 21, 51, -20, 
0.99, -0.00, -0.10, 23, 47, -19, 
0.98, -0.00, -0.09, 16, 63, -22, 
0.99, -0.00, -0.10, 23, 55, -21, 
0.98, -0.01, -0.09, 22, 53, -19, 
0.97, 0.00, -0.08, 20, 52, -24, 
0.99, -0.00, -0.09, 23, 51, -19, 
1.00, -0.00, -0.10, 20, 46, -23, 
0.99, -0.00, -0.09, 20, 49, -17, 
0.99, 0.00, -0.09, 27, 52, -28, 
0.99, -0.00, -0.09, 47, 54, -64, 
0.98, 0.00, -0.10, -16, 30, -8, 
0.99, 0.00, -0.10, 9, 79, -29, 
0.99, 0.00, -0.09, -37, -8, -23, 
0.97, -0.01, -0.10, 23, 40, -22, 
0.98, 0.00, -0.11, 30, 40, -27, 
0.99, -0.00, -0.11, 37, 44, -16, 
0.98, -0.00, -0.11, 18, 130, -20, 
0.99, -0.00, -0.10, 19, -35, -22, 
0.86, -0.47, 0.03, 399, 18, -78, 
0.98, -0.02, -0.12, 50, -9, -19, 
0.98, -0.04, -0.13, 47, 113, -29, 
0.99, -0.03, -0.11, 81, 88, -11, 
0.97, -0.01, -0.11, 22, 102, -20, 
0.99, -0.03, -0.10, 53, 105, -26, 
0.98, -0.02, -0.10, 45, 62, -9, 
0.99, -0.01, -0.10, 13, 42, -21, 
0.99, -0.01, -0.10, 25, 33, -15, 
0.98, -0.00, -0.09, 28, 51, -20, 
0.98, 0.00, -0.09, 18, 50, -21, 
0.99, 0.00, -0.10, 20, 53, -24, 
0.98, 0.00, -0.10, 20, 55, -16, 
1.00, -0.00, -0.10, 16, 49, -25, 
0.99, 0.00, -0.10, 23, 55, -26, 
0.98, -0.00, -0.09, 18, 52, -24, 
0.99, -0.00, -0.10, 19, 47, -21, 
1.00, -0.00, -0.10, 21, 53, -23, 
0.99, -0.01, -0.10, 8, 50, -27, 
0.99, -0.01, -0.10, -1, 51, -36, 
0.99, -0.01, -0.10, 4, -114, -18, 
1.00, -0.04, 0.07, 499, -782, -29, 
1.14, 0.00, 0.05, -1757, -890, -577, 
0.55, -0.26, -0.81, -353, -192, -322, 
0.75, 0.24, 0.12, -181, -76, -202, 
0.76, 0.32, 0.27, 299, 579, 865, 
1.08, -0.25, -1.35, 172, -964, 1215, 
1.18, 0.73, 0.73, -1774, 1203, -1105, 
0.70, 0.15, -0.65, -2446, 4925, -211, 
0.75, -0.24, 0.61, 494, 1610, -438, 
1.31, 0.06, -0.15, 1755, 1124, -1038, 
1.08, -0.18, 0.35, 1011, -397, 2404, 
1.03, 0.15, 0.20, -1006, -886, -1447, 
1.00, 0.21, 0.15, 1548, -4549, 4123, 
0.81, 0.03, -0.65, 3727, 2647, 2439, 
1.03, -0.20, 0.13, 475, 1122, -390, 
1.02, -0.55, 0.53, 2031, 747, -2040, 
1.20, 0.82, -1.23, 1273, -121, -643, 
0.49, -0.27, 0.91, -2, -671, -1176, 
1.00, -0.07, -0.24, 1108, 149, -77, 
0.97, 0.35, -1.04, -2224, 479, -762, 
0.99, -0.53, 1.31, 1510, 396, 529, 
1.47, 0.79, -1.62, -2616, 92, -139, 
0.64, -0.45, 0.21, -2425, -71, 258, 
0.99, -0.79, 0.78, 818, 18, 282, 
1.54, 0.60, -1.14, -327, -50, -342, 
0.78, 0.01, 0.32, -2267, -134, 84, 
1.02, -0.66, 0.67, 2532, 708, 356, 
1.45, 0.61, -1.16, -43, 120, -348, 
0.90, -0.24, 0.28, -1805, 308, 155, 
0.56, -0.77, 0.40, 2227, 64, 438, 
1.37, 0.51, -0.90, 75, 333, 292, 
0.29, -0.24, 0.65, -166, -661, 575, 
